JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2459009.500000000, A.D. 2020-Jun-09 00:00:00.0000, -1.052464536506908E-01, -7.187911196878831E-01, -3.790012978243400E-03,  1.987718701989483E-02, -3.009956914325608E-03, -1.188359526004659E-03,
2459010.500000000, A.D. 2020-Jun-10 00:00:00.0000, -8.533121599543066E-02, -7.215233619872697E-01, -4.976757292567920E-03,  1.995072170530455E-02, -2.454215831273993E-03, -1.184976706851577E-03,
2459011.500000000, A.D. 2020-Jun-11 00:00:00.0000, -6.535014997607622E-02, -7.236989984812471E-01, -6.159662193887960E-03,  2.000883756581319E-02, -1.896816157625471E-03, -1.180681315871357E-03,
2459012.500000000, A.D. 2020-Jun-12 00:00:00.0000, -4.531869104973654E-02, -7.253165832113457E-01, -7.337817069490741E-03,  2.005150325101649E-02, -1.338183217419224E-03, -1.175477382607316E-03,
2459013.500000000, A.D. 2020-Jun-13 00:00:00.0000, -2.525230028520004E-02, -7.263750956726488E-01, -8.510315669268466E-03,  2.007869888441446E-02, -7.787425439487856E-04, -1.169369601831104E-03,
2459014.500000000, A.D. 2020-Jun-14 00:00:00.0000, -5.166452900835615E-03, -7.268739408740680E-01, -9.676256768197767E-03,  2.009041603863648E-02, -2.189195821485411E-04, -1.162363327981895E-03,
2459015.500000000, A.D. 2020-Jun-15 00:00:00.0000,  1.492337316926090E-02, -7.268129491020566E-01, -1.083474482307222E-02,  2.008665770374747E-02,  3.408606068987824E-04, -1.154464569235691E-03,
2459016.500000000, A.D. 2020-Jun-16 00:00:00.0000,  3.500170867402351E-02, -7.261923753899407E-01, -1.198489062312397E-02,  2.006743824877126E-02,  9.001736392112915E-04, -1.145679981215677E-03,
2459017.500000000, A.D. 2020-Jun-17 00:00:00.0000,  5.505310440236024E-02, -7.250128986951729E-01, -1.312581193418006E-02,  2.003278337656371E-02,  1.458596098797905E-03, -1.136016860354026E-03,
2459018.500000000, A.D. 2020-Jun-18 00:00:00.0000,  7.506214249169976E-02, -7.232756207869198E-01, -1.425663413601110E-02,  1.998273007216562E-02,  2.015705826079778E-03, -1.125483136915009E-03,
2459019.500000000, A.D. 2020-Jun-19 00:00:00.0000,  9.501344768168318E-02, -7.209820648465067E-01, -1.537649085253726E-02,  1.991732654476147E-02,  2.571082203740296E-03, -1.114087367688680E-03,
2459020.500000000, A.D. 2020-Jun-20 00:00:00.0000,  1.148916985066696E-01, -7.181341737833392E-01, -1.648452457456675E-02,  1.983663216336761E-02,  3.124306439907280E-03, -1.101838728363910E-03,
2459021.500000000, A.D. 2020-Jun-21 00:00:00.0000,  1.346816384208440E-01, -7.147343082690112E-01, -1.757988727475108E-02,  1.974071738636966E-02,  3.674961848577537E-03, -1.088747005588942E-03,
2459022.500000000, A.D. 2020-Jun-22 00:00:00.0000,  1.543680868498365E-01, -7.107852444924053E-01, -1.866174101444672E-02,  1.962966368502607E-02,  4.222634127200377E-03, -1.074822588727117E-03,
2459023.500000000, A.D. 2020-Jun-23 00:00:00.0000,  1.739359501628756E-01, -7.062901716386610E-01, -1.972925854218433E-02,  1.950356346105138E-02,  4.766911631343245E-03, -1.060076461314860E-03,
2459024.500000000, A.D. 2020-Jun-24 00:00:00.0000,  1.933702325596106E-01, -7.012526890949665E-01, -2.078162388344890E-02,  1.936251995838968E-02,  5.307385646369138E-03, -1.044520192228464E-03,
2459025.500000000, A.D. 2020-Jun-25 00:00:00.0000,  2.126560468658442E-01, -6.956768033861956E-01, -2.181803292148501E-02,  1.920664716928103E-02,  5.843650656052487E-03, -1.028165926567715E-03,
