JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451568.500000000, A.D. 2000-Jan-25 00:00:00.0000,  3.284539858073019E-01, -2.261954136312919E-01, -4.862525508532647E-02,  1.042230836357892E-02,  2.447308916455307E-02,  1.042595687745564E-03,
2451569.500000000, A.D. 2000-Jan-26 00:00:00.0000,  3.381088639983720E-01, -2.012183808346822E-01, -4.747105316704602E-02,  8.869344764893200E-03,  2.546838682152608E-02,  1.266441316081997E-03,
2451570.500000000, A.D. 2000-Jan-27 00:00:00.0000,  3.461562615641496E-01, -1.752857052144897E-01, -4.609124116348706E-02,  7.207167130859117E-03,  2.638244836945449E-02,  1.493675006458222E-03,
2451571.500000000, A.D. 2000-Jan-28 00:00:00.0000,  3.524865735506879E-01, -1.484846069221490E-01, -4.448288396999678E-02,  5.435151387784002E-03,  2.720309950705359E-02,  1.723359517826751E-03,
2451572.500000000, A.D. 2000-Jan-29 00:00:00.0000,  3.569900902460918E-01, -1.209151049119958E-01, -4.264408240429735E-02,  3.553759702652949E-03,  2.791691228123680E-02,  1.954355496910890E-03,
2451573.500000000, A.D. 2000-Jan-30 00:00:00.0000,  3.595582342689031E-01, -9.269127775739407E-02, -4.057418974959728E-02,  1.564850245320308E-03,  2.850919807448220E-02,  2.185292473674846E-03,
2451574.500000000, A.D. 2000-Jan-31 00:00:00.0000,  3.600851316876587E-01, -6.394250667843906E-02, -3.827405750376789E-02, -5.279645644145534E-04,  2.896405316722181E-02,  2.414539701452948E-03,
2451575.500000000, A.D. 2000-Feb-01 00:00:00.0000,  3.584695647979487E-01, -3.481463869510372E-02, -3.574630963415749E-02, -2.718913804856839E-03,  2.926447648104184E-02,  2.640178670968530E-03,
2451576.500000000, A.D. 2000-Feb-02 00:00:00.0000,  3.546173490758523E-01, -5.470986540246732E-03, -3.299564243050367E-02, -4.999625882430058E-03,  2.939258235445808E-02,  2.859979907262823E-03,
2451577.500000000, A.D. 2000-Feb-03 00:00:00.0000,  3.484441649978694E-01,  2.390694211578603E-02, -3.002914399537439E-02, -7.358664418760409E-03,  2.932993341300616E-02,  3.071387563116200E-03,
