JDTDB, Fecha, X, Y, Z, VX, VY, Vz,
2451603.500000000, A.D. 2000-Feb-29 00:00:00.0000,  1.458758206835957E+01, -1.357710710920430E+01, -2.395755043925170E-01,  2.645859040896697E-03,  2.702169392557637E-03, -2.414461053142266E-05,
2451604.500000000, A.D. 2000-Mar-01 00:00:00.0000,  1.459022763205610E+01, -1.357440469079559E+01, -2.395996853368325E-01,  2.645248793592001E-03,  2.702676938600917E-03, -2.417708450000766E-05,
2451605.500000000, A.D. 2000-Mar-02 00:00:00.0000,  1.459287262602502E+01, -1.357170176084812E+01, -2.396238025535279E-01,  2.644781083191418E-03,  2.703170413448634E-03, -2.408388415836236E-05,
2451606.500000000, A.D. 2000-Mar-03 00:00:00.0000,  1.459551717670097E+01, -1.356899835772654E+01, -2.396479327830458E-01,  2.644283375013076E-03,  2.703643012463857E-03, -2.418383394383355E-05,
2451607.500000000, A.D. 2000-Mar-04 00:00:00.0000,  1.459816116054655E+01, -1.356629446249851E+01, -2.396721344787707E-01,  2.643695499290605E-03,  2.704147121376193E-03, -2.420115135745871E-05,
2451608.500000000, A.D. 2000-Mar-05 00:00:00.0000,  1.460080459257532E+01, -1.356359007189964E+01, -2.396963586473841E-01,  2.643146440722572E-03,  2.704635208532573E-03, -2.427450724238669E-05,
2451609.500000000, A.D. 2000-Mar-06 00:00:00.0000,  1.460344738291096E+01, -1.356088517184972E+01, -2.397206450414040E-01,  2.642438928994146E-03,  2.705171746831527E-03, -2.424387920546784E-05,
2451610.500000000, A.D. 2000-Mar-07 00:00:00.0000,  1.460608955712262E+01, -1.355817974155642E+01, -2.397448034670662E-01,  2.641953084222559E-03,  2.705675376248298E-03, -2.409893756838310E-05,
2451611.500000000, A.D. 2000-Mar-08 00:00:00.0000,  1.460873128700984E+01, -1.355547383316062E+01, -2.397689367007153E-01,  2.641459075699222E-03,  2.706148680670569E-03, -2.418867901549160E-05,
2451612.500000000, A.D. 2000-Mar-09 00:00:00.0000,  1.461137242620282E+01, -1.355276742556037E+01, -2.397931221287266E-01,  2.640843837913856E-03,  2.706665567505731E-03, -2.415299202743709E-05,
2451613.500000000, A.D. 2000-Mar-10 00:00:00.0000,  1.461401302076041E+01, -1.355006051538871E+01, -2.398172626602858E-01,  2.640342020817409E-03,  2.707151885299794E-03, -2.415375850847982E-05,
2451614.500000000, A.D. 2000-Mar-11 00:00:00.0000,  1.461665306496810E+01, -1.354735311317885E+01, -2.398414417739182E-01,  2.639731342600100E-03,  2.707659189069764E-03, -2.417727920760281E-05,
