JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ, IGNORAR1, IGNORAR2, IGNORAR3, IGNORAR 4, IGNORAR 5, IGNORAR 6,            
2460799.500000000, A.D. 2025-May-04 00:00:00.0000, -7.320652655053862E-01, -6.932752755938574E-01,  4.312727903886505E-05,  1.155651744137661E-02, -1.255267407091486E-02,  1.065087108807093E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460800.500000000, A.D. 2025-May-05 00:00:00.0000, -7.204041824833431E-01, -7.057266759110593E-01,  4.423820034664511E-05,  1.176502354531484E-02, -1.234959847573684E-02,  1.152232276064274E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460801.500000000, A.D. 2025-May-06 00:00:00.0000, -7.085364652237506E-01, -7.179734314160633E-01,  4.542235323619500E-05,  1.196978912032302E-02, -1.214339898149468E-02,  1.211254827844609E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460802.500000000, A.D. 2025-May-07 00:00:00.0000, -6.964658452150292E-01, -7.300124594980454E-01,  4.665094877536963E-05,  1.217083164994292E-02, -1.193415599599070E-02,  1.241028473996987E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460803.500000000, A.D. 2025-May-08 00:00:00.0000, -6.841960383058771E-01, -7.418407521035216E-01,  4.789463050445667E-05,  1.236816492328493E-02, -1.172193882518768E-02,  1.241489541779760E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460804.500000000, A.D. 2025-May-09 00:00:00.0000, -6.717307482553413E-01, -7.534553661552775E-01,  4.912439822699162E-05,  1.256179945303084E-02, -1.150680844518534E-02,  1.213384370574242E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460805.500000000, A.D. 2025-May-10 00:00:00.0000, -6.590736696314577E-01, -7.648534159852326E-01,  5.031234877754326E-05,  1.275174322063369E-02, -1.128881881738425E-02,  1.158149617740131E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460806.500000000, A.D. 2025-May-11 00:00:00.0000, -6.462284900804688E-01, -7.760320665332736E-01,  5.143234554395169E-05,  1.293800211718213E-02, -1.106801718847821E-02,  1.077881464396329E-06,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460807.500000000, A.D. 2025-May-12 00:00:00.0000, -6.331988924347102E-01, -7.869885265478045E-01,  5.246068189409777E-05,  1.312057980390042E-02, -1.084444387454239E-02,  9.753467928907465E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2460808.500000000, A.D. 2025-May-13 00:00:00.0000, -6.199885572640506E-01, -7.977200414987121E-01,  5.337675986452764E-05,  1.329947697963397E-02, -1.061813196470775E-02,  8.539969669542398E-07,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
