"","train_loss","val_loss","train_r","train_v","train_f","val_r","val_v","val_f"
"25",4439106870.30847,4418697143.86857,1.03349757194519,0.990727126598358,1.47951590792579e+29,1.07756650447845,1.08469831943512,4.68433112650667e+28
"26",3881067522.24223,4526947262.77328,1.16485261917114,0.933257520198822,1.44614048836077e+29,1.36512851715088,1.04479897022247,4.90748136005154e+28
"27",3992891142.16614,4507359885.27492,1.34342038631439,0.914158165454865,1.32266713311642e+29,1.27052187919617,1.0296745300293,4.43793032158339e+28
"28",4423363660.00821,5142852343.55312,1.09654235839844,0.971275627613068,1.25360082325252e+29,0.916548728942871,0.97285395860672,3.77494336007219e+28
"29",4762034664.22882,4607631243.91676,1.01274979114532,1.07435762882233,1.15284422307935e+29,1.26020288467407,0.900112628936768,4.38240709766105e+28
"30",3673572258.56193,3999474899.09967,1.05904841423035,1.06146705150604,1.51601791189177e+29,1.44237565994263,0.936175882816315,4.78983729399365e+28
"31",4117944207.81826,4779635644.35487,1.01497638225555,1.09478437900543,1.4773102794363e+29,1.50126898288727,0.856296360492706,4.5364247193166e+28
"32",3519270611.75092,4382806337.19168,1.14603662490845,0.998382329940796,1.76627537907429e+29,1.33763778209686,0.928560256958008,5.36823368528882e+28
"33",3230056659.3743,4808541015.76342,1.01935350894928,1.09291017055511,1.12300595045734e+29,1.04579675197601,0.887809693813324,5.03732991004777e+28
"34",3617348712.24634,4176300036.41621,1.1806343793869,0.96530556678772,1.03215923634848e+29,1.44812726974487,1.02420234680176,4.19896582716068e+28
"35",3333541857.94006,3935534443.46988,1.18503773212433,0.986451148986816,1.09278582728153e+29,1.33910465240479,1.06918561458588,4.61353813056197e+28
"36",4217535394.73272,5402317580.72289,1.14159536361694,0.93615335226059,1.18064630572128e+29,1.32701218128204,0.94315630197525,3.81151832460034e+28
"37",4832076060.90379,4026237985.99781,1.03792560100555,1.0406037569046,1.5236104382756e+29,1.47998201847076,0.940076351165771,5.29624970851714e+28
"38",3218744191.9584,3930993778.71632,1.17627620697021,0.970400989055634,1.42892547913679e+29,1.65723645687103,1.02257084846497,5.37383960654063e+28
"39",3101486946.47434,5598526967.02738,1.11506974697113,0.911342620849609,1.03737254005091e+29,1.53469753265381,1.04630935192108,5.19464893811149e+28
"40",3393704968.43465,3888043975.45674,1.42909562587738,1.04817652702332,1.15982227513643e+29,1.07096910476685,0.949354231357574,4.93234461958385e+28
"41",3327809706.04188,4465767073.22672,1.03984892368317,1.00176537036896,1.50076079581159e+29,1.61545324325562,0.995407402515411,3.99168605065478e+28
"42",2748042955.44765,4453458917.60789,1.17553126811981,1.12914478778839,1.26231878401655e+29,1.28086853027344,1.05295765399933,2.945608914137e+28
"43",3075369983.08909,3485358703.94743,1.25911247730255,1.02334380149841,9.61726745861082e+28,1.2718186378479,1.05921375751495,3.74112318803182e+28
"44",2617318519.79964,3572655178.83023,1.31615483760834,1.07500088214874,1.29941769510597e+29,1.46096098423004,1.17414271831512,4.35116344877373e+28
"45",2940438945.68605,3736854317.84447,1.3538031578064,0.920402050018311,1.14190476667446e+29,1.61492693424225,0.911891460418701,4.61347815650764e+28
"46",3184921383.79089,3283842793.35816,1.30984556674957,0.986073434352875,9.90144341750388e+28,1.13491058349609,1.154412150383,3.10468655147894e+28
"47",3120951631.28397,5980619465.8839,1.29799270629883,0.984191656112671,8.29508134574434e+28,1.23247623443604,1.03026783466339,4.27759181239051e+28
"48",2421992881.37293,3440135237.50274,1.17299246788025,0.9311203956604,1.15395190136158e+29,1.14711427688599,0.890367686748505,4.22169977164586e+28
"49",2709429731.67866,3338292662.67689,1.50795447826385,1.0403391122818,8.90454240823713e+28,1.29277086257935,0.995780944824219,3.71719094305161e+28
